## 1337bytes (on the forum) | ZCAP handle: 1337bytes | joined ZCAP: May 2022 | tier: Direct grantee
  - Elemental ZEC – Zcash UI Component Kit and Payment Processor | org: Elemental ZEC | Grantee (thread author 1337bytes; ZOMG approval 2021-10-13) | https://forum.zcashcommunity.com/t/elemental-zec-ui-component-kit-and-payment-processor/40110 | first paid Dec 2021 | Completed
  - Zcash Lightwalletd Infrastructure Development and Maintenance | org: Emersonian & Zancas | Applicant ('Our proposal is below', post 2 of the RFP thread); zancas disclaimed any funds | https://forum.zcashcommunity.com/t/rfp-zcash-lightwalletd-infrastructure-development-and-maintenance/47080 | first paid Apr 2024 | Completed
## emmalexo | ZCAP handle: @Emmalexo | joined ZCAP: November 2025 | tier: Named grant team member
  - Zcash Nigeria 2025 v2.0; Aug-Oct; Nov-Dec; 2026 | org: Zcash Nigeria | Named team member, $600/month ('@Emmalexo Emmanuel is currently a member of the zcash team Nigeria'); the Feb 2025 application tagged the same bio as @Emmanuel by mistake | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/40 | first paid Jun 2025 | Completed/Open
## Eric Tu | ZCAP handle: ec2 | joined ZCAP: May 2025 | tier: Direct grantee
  - Chainsafe Systems (WebZjs continuation) | org: ChainSafe | Project lead 'Eric Tu, Principal Research Engineer' (GitHub/forum ec2) | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/2 | first paid Aug 2025 | Completed
## fabacab | ZCAP handle: fabacab | joined ZCAP: May 2026 | tier: Direct grantee
  - Grassroots Marketing at ETHDenver 2026 | org: Zcash Grassroots Marketing Team | Application co-owner ('@zReadyMouse, @fabacab'), Technical Educator | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/193 | first paid Jan 2026 | Completed
  - ETHCC + Exxxotica; Berlin Blockchain Week; DWeb Camp; ZECsy Team in Amsterdam | org: ZECsy / Zcash Grassroots Marketing Team | Application co-owner ('Violet @fabacab') | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/229 | first paid Mar 2026 | Completed
  - ZECsy Community Building: 12 Months | org: ZECsy | Named team member (lead educator); owner is readymouse alone | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/402 | first paid Sep 2026 | Open
## fireice_uk (on the forum) | ZCAP handle: fireice_uk | joined ZCAP: May 2021 | tier: Named grant team member
  - A Metamask-style browser extension for Zcash (Zephyr) | org: Zypher | Named team member ('@fireice_uk and I are also happy to add ... @mistfpga to the team'; ZOMG: 'Congratulations to the whole team @fireice_uk and @mistfpga'). Milestone 1 $30,100 paid, rest cancelled | https://forum.zcashcommunity.com/t/zephyr-a-metamask-style-browser-extension-for-zcash/39112 | first paid May 2021 | Cancelled after milestone 1
## Cjfrankie | ZCAP handle: @Cjfrankie | joined ZCAP: October 2025 | tier: Named grant team member
  - Zcash Nigeria 2025; v2.0; Aug-Oct; Nov-Dec; 2026 | org: Zcash Nigeria | Named team member, $600/month on every application (forum name Frank Chukwurah) | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/14 | first paid Feb 2025 | Completed/Open
## Hanh (on the forum) | ZCAP handle: hanh | joined ZCAP: December 2021 | tier: Direct grantee
  - Cold Wallet; CoinPayments Integration; Payment Gateway with BTCPay (2021-22) | org: Hanh | Grantee (hhanh00) | https://forum.zcashcommunity.com/t/cold-wallet/38664 | first paid Mar 2021 | Completed
  - YWallet; Orchard and UA for YWallet; Ledger shielded support; YWallet Maintenance (2022-23) | org: Hanh | Grantee | https://forum.zcashcommunity.com/t/orchard-and-ua-for-ywallet/43061 | first paid Sep 2022 | Completed
  - Maya DEX; Coin Voting 2.0 (2024-25) | org: Hanh | Grantee (Proof of Balance approved but never paid) | https://forum.zcashcommunity.com/t/transparent-shielded-dex-with-maya-protocol/46857 | first paid May 2024 | Completed
  - Zcash Infra 1 year; BTCPayServer Orchard+UA; Coin Voting maintenance; zaino Stability (2025-26) | org: Hanh | Application owner @hhanh00 | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/5 | first paid Feb 2025 | Completed/Open
## Harry Halpin | ZCAP handle: @harryhalpin | joined ZCAP: May 2021 | tier: Direct grantee
  - The Nym mixnet for Network Privacy for Zcash | org: Nym Technologies | Applicant (thread author harryhalpin, Nym co-founder); approved Feb 2024 for $150,000 | https://forum.zcashcommunity.com/t/the-nym-mixnet-for-network-privacy-for-zcash/46324 | first paid Oct 2024 | Open
## J.W. Verret | ZCAP handle: @jwverret | joined ZCAP: November 2022 | tier: Named grant team member
  - Pretty Good Policy for Zcash | org: Pretty Good Policy for Zcash | Named team member 'Board Director' (application: board receives 'modest compensation'); also a ZF director | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/396 | first paid Sep 2026 | Open
## James Katz | ZCAP handle: james_katz | joined ZCAP: October 2023 | tier: Named grant team member
  - Zcash Global <> Zcash Brazil (2024) | org: Zcash Brazil | Named team member (dev), $1,000/month | https://forum.zcashcommunity.com/t/zcash-global-zcash-brazil/46295 | first paid Jan 2024 | Completed
  - Zcash Brazil 2025 | org: Zcash Brazil | Named core team (Dev), $45,000 | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/8 | first paid Jan 2025 | Completed
  - Zcash Brazil 2026 | org: Zcash Brazil | Implied only ('junior Dev (to help James)', links to his repos); application names no individuals | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/155 | first paid Jan 2026 | Open
## gottabeJay (on the forum) | ZCAP handle: gottabeJay | joined ZCAP: May 2022 | tier: Direct grantee
  - Telegram Anti Scam Bot - Grant Request | org: JRGB (Zcash Community Telegram Admin Group) | Applicant (thread author; 'We are the Admins of the Zcash community Telegram group'); $700 retroactive | https://forum.zcashcommunity.com/t/zcash-anti-scam-telegram-bot-grant/42845 | first paid May 2023 | Completed
## Jonathan Rouach | ZCAP handle: jonmrjr | joined ZCAP: December 2023 | tier: Direct grantee
  - Zebra ZSA Integration | org: QEDIT | Named 'Co-Lead, CEO at QEDIT' (owner handle written @jonrouach) | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/6 | first paid Jan 2025 | Completed
  - ZSAs in NU7 H2 2025; Legal Compliance 2025; OrchardZSA finalization; Feature Branch Testnet | org: QEDIT | Application owner @jonmrjr | https://github.com/ZcashCommunityGrants/zcashcommunitygrants/issues/44 | first paid Aug 2025 | Completed/Open
## Jonathan Bird (birdify on the forum) | ZCAP handle: birdify | joined ZCAP: September 2023 | tier: Named grant team member
  - Free2Z; Free2Z legal expenses | org: Free2Z (2Z Inc) | Named in application ('Jonathan Bird, PhD. is a senior software engineer at SAP'); co-founder/CFO | https://forum.zcashcommunity.com/t/free2-whats-your/41289 | first paid Jun 2022 | Completed
  - Free2Z: Preparing the Garden For Spring | org: Free2Z (2Z Inc) | Applicant (thread author birdify): '2Z Inc ... founded by Skylar Saveland (CEO) and Jonathan Bird (CFO)' | https://forum.zcashcommunity.com/t/free2z-preparing-the-garden-for-spring/43979 | first paid Mar 2023 | Completed
## Juan Carlos Carmona Calvo (Juanky on the forum) | ZCAP handle: Juanky | joined ZCAP: December 2024 | tier: Named grant team member
  - Implement Orchard Funded Amendment; Zingo! Onward | org: Zingo Labs | Named team ('Now there are 3 of us (Za, Juanky, Gygaxis)'; applicants incl. juanky@zingolabs.org; 'Juanky - TypeScript, FrontEnd, UX/UI'); forum title Zingo Labs | https://forum.zcashcommunity.com/t/implement-orchard/42706 | first paid Nov 2022 | Completed
